parameter,shape,numel,requires_grad
conv_input.0.weight,"(3, 3, 3, 12, 4)",1296,True
conv_input.1.weight,"(12,)",12,True
conv_input.1.bias,"(12,)",12,True
conv1.0.0.shortcut.conv.0.weight,"(1, 1, 1, 12, 12)",144,True
conv1.0.0.shortcut.conv.1.weight,"(12,)",12,True
conv1.0.0.shortcut.conv.1.bias,"(12,)",12,True
conv1.0.0.pwconv.0.weight,"(1, 1, 1, 28, 12)",336,True
conv1.0.0.pwconv.1.weight,"(28,)",28,True
conv1.0.0.pwconv.1.bias,"(28,)",28,True
conv1.0.0.gdconv.0.convs.0.weight,"(3, 3, 3, 7, 7)",1323,True
conv1.0.0.gdconv.0.convs.0.bias,"(7,)",7,True
conv1.0.0.gdconv.0.convs.1.weight,"(3, 3, 3, 7, 7)",1323,True
conv1.0.0.gdconv.0.convs.1.bias,"(7,)",7,True
conv1.0.0.gdconv.0.convs.2.weight,"(3, 3, 3, 7, 7)",1323,True
conv1.0.0.gdconv.0.convs.2.bias,"(7,)",7,True
conv1.0.0.gdconv.0.convs.3.weight,"(3, 3, 3, 7, 7)",1323,True
conv1.0.0.gdconv.0.convs.3.bias,"(7,)",7,True
conv1.0.0.gdconv.1.weight,"(28,)",28,True
conv1.0.0.gdconv.1.bias,"(28,)",28,True
conv1.0.0.se.fc.0.weight,"(14, 28)",392,True
conv1.0.0.se.fc.2.weight,"(28, 14)",392,True
conv1.0.0.conv3.0.weight,"(1, 1, 1, 12, 28)",336,True
conv1.0.0.conv3.1.weight,"(12,)",12,True
conv1.0.0.conv3.1.bias,"(12,)",12,True
conv1.0.1.weight,"(12,)",12,True
conv1.0.1.bias,"(12,)",12,True
conv2.0.0.weight,"(3, 3, 3, 24, 12)",7776,True
conv2.0.1.weight,"(24,)",24,True
conv2.0.1.bias,"(24,)",24,True
conv2.1.0.shortcut.conv.0.weight,"(1, 1, 1, 24, 24)",576,True
conv2.1.0.shortcut.conv.1.weight,"(24,)",24,True
conv2.1.0.shortcut.conv.1.bias,"(24,)",24,True
conv2.1.0.pwconv.0.weight,"(1, 1, 1, 40, 24)",960,True
conv2.1.0.pwconv.1.weight,"(40,)",40,True
conv2.1.0.pwconv.1.bias,"(40,)",40,True
conv2.1.0.gdconv.0.convs.0.weight,"(3, 3, 3, 10, 10)",2700,True
conv2.1.0.gdconv.0.convs.0.bias,"(10,)",10,True
conv2.1.0.gdconv.0.convs.1.weight,"(3, 3, 3, 10, 10)",2700,True
conv2.1.0.gdconv.0.convs.1.bias,"(10,)",10,True
conv2.1.0.gdconv.0.convs.2.weight,"(3, 3, 3, 10, 10)",2700,True
