group,epoch,batch,loss,lr
A,0,0,0.3317062556743622,0.001
A,0,1,0.30745935440063477,0.001
A,0,2,0.31646743416786194,0.001
A,0,3,0.33424103260040283,0.001
A,0,4,0.2869148552417755,0.001
A,0,5,0.2821863293647766,0.001
A,0,6,0.28130191564559937,0.001
A,0,7,0.27726298570632935,0.001
A,0,8,0.288941890001297,0.001
A,0,9,0.2794613838195801,0.001
A,0,10,0.30045804381370544,0.001
A,0,11,0.27130624651908875,0.001
A,0,12,0.2915436923503876,0.001
A,0,13,0.26809170842170715,0.001
A,0,14,0.2694910168647766,0.001
A,0,15,0.26235857605934143,0.001
A,0,16,0.2654052674770355,0.001
A,0,17,0.28883063793182373,0.001
A,0,18,0.2762426733970642,0.001
A,0,19,0.27612197399139404,0.001
A,0,20,0.2575128376483917,0.001
A,0,21,0.25075945258140564,0.001
A,0,22,0.29373854398727417,0.001
A,0,23,0.253175288438797,0.001
A,0,24,0.2685963809490204,0.001
A,0,25,0.24474333226680756,0.001
A,0,26,0.2431807518005371,0.001
A,0,27,0.2572157382965088,0.001
A,0,28,0.24069911241531372,0.001
A,0,29,0.3083857297897339,0.001
A,0,30,0.2512838840484619,0.001
A,0,31,0.2333316057920456,0.001
A,0,32,0.2332640141248703,0.001
A,0,33,0.25079822540283203,0.001
A,0,34,0.2443191409111023,0.001
A,0,35,0.22750841081142426,0.001
A,0,36,0.23429232835769653,0.001
A,0,37,0.2362159639596939,0.001
A,0,38,0.24163375794887543,0.001
A,0,39,0.23323707282543182,0.001
A,0,40,0.22923944890499115,0.001
A,0,41,0.26540693640708923,0.001
A,0,42,0.2178477942943573,0.001
A,0,43,0.21581822633743286,0.001
A,0,44,0.2407526820898056,0.001
A,0,45,0.2162296175956726,0.001
A,0,46,0.24037840962409973,0.001
A,0,47,0.22794398665428162,0.001
A,0,48,0.21290341019630432,0.001
A,0,49,0.2154206782579422,0.001
A,0,50,0.20676718652248383,0.001
A,0,51,0.2283487319946289,0.001
A,0,52,0.23906400799751282,0.001
A,0,53,0.22534272074699402,0.001
A,0,54,0.22909629344940186,0.001
A,0,55,0.20554213225841522,0.001
A,0,56,0.20280279219150543,0.001
A,0,57,0.2084517925977707,0.001
A,0,58,0.22814536094665527,0.001
A,0,59,0.21784819662570953,0.001
A,0,60,0.22533993422985077,0.001
A,0,61,0.2041368931531906,0.001
A,0,62,0.2515474557876587,0.001
A,0,63,0.22133979201316833,0.001
A,0,64,0.19268082082271576,0.001
A,0,65,0.20253349840641022,0.001
A,0,66,0.2222328782081604,0.001
A,0,67,0.20913730561733246,0.001
A,0,68,0.1932787001132965,0.001
A,0,69,0.19966453313827515,0.001
A,0,70,0.20763379335403442,0.001
A,0,71,0.20348455011844635,0.001
A,0,72,0.19113393127918243,0.001
A,0,73,0.21679970622062683,0.001
A,0,74,0.18648402392864227,0.001
A,0,75,0.18660344183444977,0.001
A,0,76,0.19194641709327698,0.001
A,0,77,0.1864585280418396,0.001
A,0,78,0.18901969492435455,0.001
A,0,79,0.1854211390018463,0.001
A,0,80,0.18464164435863495,0.001
A,0,81,0.1826324164867401,0.001
A,0,82,0.19235330820083618,0.001
A,0,83,0.2022111564874649,0.001
A,0,84,0.18256518244743347,0.001
A,0,85,0.1796179711818695,0.001
A,0,86,0.18307611346244812,0.001
A,0,87,0.1788787990808487,0.001
A,0,88,0.17826242744922638,0.001
A,0,89,0.17472006380558014,0.001
A,0,90,0.24324603378772736,0.001
