group,epoch,batch,loss,lr
D,0,0,0.3317062556743622,0.001
D,0,1,0.31349968910217285,0.001
D,0,2,0.2962823510169983,0.001
D,0,3,0.31554675102233887,0.001
D,0,4,0.3056323826313019,0.001
D,0,5,0.2855539917945862,0.001
D,0,6,0.2792539894580841,0.001
D,0,7,0.2747066020965576,0.001
D,0,8,0.31444424390792847,0.001
D,0,9,0.2923744320869446,0.001
D,0,10,0.28595373034477234,0.001
D,0,11,0.2919342815876007,0.001
D,0,12,0.28936249017715454,0.001
D,0,13,0.27031663060188293,0.001
D,0,14,0.2723768949508667,0.001
D,0,15,0.26693058013916016,0.001
D,0,16,0.26485583186149597,0.001
D,0,17,0.2827281951904297,0.001
D,0,18,0.2807789444923401,0.001
D,0,19,0.2636142373085022,0.001
D,0,20,0.2828073799610138,0.001
D,0,21,0.25571587681770325,0.001
D,0,22,0.26506903767585754,0.001
D,0,23,0.26345589756965637,0.001
D,0,24,0.26968279480934143,0.001
D,0,25,0.28329065442085266,0.001
D,0,26,0.2470155656337738,0.001
D,0,27,0.26432937383651733,0.001
D,0,28,0.2649087905883789,0.001
D,0,29,0.3108028471469879,0.001
D,0,30,0.24467167258262634,0.001
D,0,31,0.2869805097579956,0.001
D,0,32,0.2599570155143738,0.001
D,0,33,0.23677171766757965,0.001
D,0,34,0.23574300110340118,0.001
D,0,35,0.23096251487731934,0.001
D,0,36,0.2313932329416275,0.001
D,0,37,0.2547324597835541,0.001
D,0,38,0.2453698366880417,0.001
D,0,39,0.23938360810279846,0.001
D,0,40,0.22566989064216614,0.001
D,0,41,0.257350891828537,0.001
D,0,42,0.249993234872818,0.001
D,0,43,0.22388100624084473,0.001
D,0,44,0.240070641040802,0.001
D,0,45,0.26852187514305115,0.001
D,0,46,0.22132804989814758,0.001
D,0,47,0.23727187514305115,0.001
D,0,48,0.23617616295814514,0.001
D,0,49,0.21786166727542877,0.001
D,0,50,0.26818734407424927,0.001
D,0,51,0.22161981463432312,0.001
D,0,52,0.23139812052249908,0.001
D,0,53,0.21823358535766602,0.001
D,0,54,0.2081611007452011,0.001
D,0,55,0.23149091005325317,0.001
D,0,56,0.20535731315612793,0.001
D,0,57,0.2057821899652481,0.001
D,0,58,0.22573475539684296,0.001
D,0,59,0.22773927450180054,0.001
D,0,60,0.201619952917099,0.001
D,0,61,0.21544520556926727,0.001
D,0,62,0.21243466436862946,0.001
D,0,63,0.22009554505348206,0.001
D,0,64,0.21989305317401886,0.001
D,0,65,0.1967143416404724,0.001
D,0,66,0.2220587283372879,0.001
D,0,67,0.2025739699602127,0.001
D,0,68,0.19508051872253418,0.001
D,0,69,0.20408256351947784,0.001
D,0,70,0.21329723298549652,0.001
D,0,71,0.19966645538806915,0.001
D,0,72,0.2206820696592331,0.001
D,0,73,0.20617669820785522,0.001
D,0,74,0.20372925698757172,0.001
D,0,75,0.1950131505727768,0.001
D,0,76,0.20341132581233978,0.001
D,0,77,0.19381234049797058,0.001
D,0,78,0.22870926558971405,0.001
D,0,79,0.18886753916740417,0.001
D,0,80,0.19677795469760895,0.001
D,0,81,0.18373441696166992,0.001
D,0,82,0.18858066201210022,0.001
D,0,83,0.20407253503799438,0.001
D,0,84,0.1855473667383194,0.001
D,0,85,0.18098998069763184,0.001
D,0,86,0.18310129642486572,0.001
D,0,87,0.1789044737815857,0.001
D,0,88,0.17814074456691742,0.001
D,0,89,0.17992763221263885,0.001
D,0,90,0.17819438874721527,0.001
D,0,91,0.19971100986003876,0.001
D,0,92,0.17525885999202728,0.001
D,0,93,0.18777824938297272,0.001
D,0,94,0.17745648324489594,0.001
D,0,95,0.18399527668952942,0.001
D,0,96,0.18460401892662048,0.001
D,0,97,0.20078900456428528,0.001
D,0,98,0.16943512856960297,0.001
D,1,0,0.19003340601921082,0.001
D,1,1,0.19543352723121643,0.001
D,1,2,0.16735388338565826,0.001
D,1,3,0.18097296357154846,0.001
D,1,4,0.18667533993721008,0.001
D,1,5,0.18818028271198273,0.001
D,1,6,0.1779538244009018,0.001
D,1,7,0.16750672459602356,0.001
D,1,8,0.16497014462947845,0.001
D,1,9,0.16712971031665802,0.001
D,1,10,0.17649376392364502,0.001
D,1,11,0.16553975641727448,0.001
D,1,12,0.16962507367134094,0.001
D,1,13,0.16640998423099518,0.001
D,1,14,0.16297392547130585,0.001
D,1,15,0.16180410981178284,0.001
D,1,16,0.15953998267650604,0.001
D,1,17,0.158875972032547,0.001
D,1,18,0.22129784524440765,0.001
D,1,19,0.16337403655052185,0.001
D,1,20,0.1781214326620102,0.001
D,1,21,0.15755276381969452,0.001
D,1,22,0.1592027246952057,0.001
D,1,23,0.16214627027511597,0.001
D,1,24,0.15354569256305695,0.001
D,1,25,0.1689567118883133,0.001
D,1,26,0.2221054881811142,0.001
D,1,27,0.2031218558549881,0.001
D,1,28,0.15924769639968872,0.001
D,1,29,0.15780413150787354,0.001
D,1,30,0.17786693572998047,0.001
D,1,31,0.15012197196483612,0.001
D,1,32,0.15401756763458252,0.001
D,1,33,0.15094643831253052,0.001
D,1,34,0.1480732560157776,0.001
D,1,35,0.17150980234146118,0.001
D,1,36,0.16522443294525146,0.001
D,1,37,0.15877224504947662,0.001
D,1,38,0.1600392609834671,0.001
D,1,39,0.1445123553276062,0.001
D,1,40,0.16649538278579712,0.001
D,1,41,0.1651163399219513,0.001
D,1,42,0.1444670408964157,0.001
D,1,43,0.16126830875873566,0.001
D,1,44,0.15923455357551575,0.001
D,1,45,0.15219736099243164,0.001
D,1,46,0.14512744545936584,0.001
D,1,47,0.13925226032733917,0.001
D,1,48,0.1666078269481659,0.001
D,1,49,0.15985319018363953,0.001
D,1,50,0.1382158100605011,0.001
D,1,51,0.14473246037960052,0.001
D,1,52,0.14925217628479004,0.001
D,1,53,0.14302684366703033,0.001
D,1,54,0.1422976702451706,0.001
D,1,55,0.15544505417346954,0.001
D,1,56,0.13891828060150146,0.001
D,1,57,0.15318360924720764,0.001
D,1,58,0.1377967745065689,0.001
D,1,59,0.19765029847621918,0.001
D,1,60,0.14518073201179504,0.001
