step,epoch,loss
1,0,0.336
2,0,0.336
3,0,0.311
4,0,0.311
5,0,0.315
6,0,0.315
7,0,0.319
8,0,0.319
9,0,0.288
10,0,0.288
11,0,0.298
12,0,0.298
13,0,0.283
14,0,0.283
15,0,0.28
16,0,0.28
17,0,0.312
18,0,0.312
19,0,0.279
20,0,0.279
21,0,0.301
22,0,0.301
23,0,0.273
24,0,0.273
25,0,0.287
26,0,0.287
27,0,0.272
28,0,0.272
29,0,0.294
30,0,0.294
31,0,0.266
32,0,0.266
33,0,0.289
34,0,0.289
35,0,0.289
36,0,0.289
37,0,0.288
38,0,0.288
39,0,0.275
40,0,0.275
41,0,0.261
42,0,0.261
43,0,0.276
44,0,0.276
45,0,0.268
46,0,0.268
47,0,0.274
48,0,0.274
49,0,0.27
50,0,0.27
51,0,0.288
52,0,0.288
53,0,0.266
54,0,0.266
55,0,0.268
56,0,0.268
57,0,0.248
58,0,0.248
59,0,0.311
60,0,0.311
61,0,0.249
62,0,0.249
63,0,0.283
64,0,0.283
65,0,0.237
66,0,0.237
67,0,0.256
68,0,0.256
69,0,0.251
70,0,0.251
71,0,0.247
72,0,0.247
73,0,0.235
74,0,0.235
75,0,0.255
76,0,0.255
77,0,0.248
78,0,0.248
79,0,0.239
80,0,0.239
81,0,0.227
82,0,0.227
83,0,0.254
84,0,0.254
85,0,0.221
86,0,0.221
87,0,0.241
88,0,0.241
89,0,0.22
90,0,0.22
91,0,0.22
92,0,0.22
93,0,0.25
94,0,0.25
95,0,0.23
96,0,0.23
97,0,0.216
98,0,0.216
99,0,0.219
100,0,0.219
101,0,0.208
102,0,0.208
103,0,0.227
104,0,0.227
105,0,0.234
106,0,0.234
107,0,0.212
108,0,0.212
109,0,0.23
110,0,0.23
111,0,0.208
112,0,0.208
113,0,0.203
114,0,0.203
115,0,0.204
116,0,0.204
117,0,0.224
118,0,0.224
119,0,0.224
120,0,0.224
121,0,0.217
122,0,0.217
123,0,0.22
124,0,0.22
125,0,0.213
126,0,0.213
127,0,0.213
128,0,0.213
129,0,0.194
130,0,0.194
131,0,0.195
132,0,0.195
133,0,0.223
134,0,0.223
135,0,0.204
136,0,0.204
137,0,0.192
138,0,0.192
139,0,0.247
140,0,0.247
141,0,0.207
142,0,0.207
143,0,0.198
144,0,0.198
145,0,0.221
146,0,0.221
147,0,0.212
148,0,0.212
149,0,0.19
150,0,0.19
151,0,0.212
152,0,0.212
153,0,0.197
154,0,0.197
155,0,0.191
156,0,0.191
157,0,0.225
158,0,0.225
159,0,0.183
160,0,0.183
161,0,0.201
162,0,0.201
163,0,0.192
164,0,0.192
165,0,0.187
166,0,0.187
167,0,0.182
168,0,0.182
169,0,0.184
170,0,0.184
171,0,0.179
172,0,0.179
173,0,0.183
174,0,0.183
175,0,0.181
176,0,0.181
177,0,0.178
178,0,0.178
179,0,0.181
180,0,0.181
181,0,0.223
182,0,0.223
183,0,0.178
184,0,0.178
185,0,0.174
186,0,0.174
187,0,0.188
188,0,0.188
189,0,0.177
190,0,0.177
191,0,0.177
192,0,0.177
193,0,0.186
194,0,0.186
195,0,0.203
196,0,0.203
197,0,0.177
198,0,0.177
199,0,0.177
200,1,0.186
201,1,0.186
202,1,0.192
203,1,0.192
204,1,0.182
205,1,0.182
206,1,0.167
207,1,0.167
208,1,0.193
209,1,0.193
210,1,0.183
211,1,0.183
212,1,0.175
213,1,0.175
214,1,0.191
215,1,0.191
216,1,0.167
217,1,0.167
218,1,0.163
219,1,0.163
220,1,0.177
221,1,0.177
222,1,0.178
223,1,0.178
224,1,0.177
225,1,0.177
226,1,0.166
227,1,0.166
228,1,0.176
229,1,0.176
230,1,0.164
231,1,0.164
232,1,0.192
233,1,0.192
234,1,0.159
235,1,0.159
236,1,0.229
237,1,0.229
238,1,0.174
239,1,0.174
240,1,0.157
241,1,0.157
242,1,0.157
243,1,0.157
244,1,0.159
245,1,0.159
246,1,0.163
247,1,0.163
248,1,0.173
249,1,0.173
250,1,0.15
251,1,0.15
252,1,0.212
253,1,0.212
254,1,0.196
255,1,0.196
256,1,0.162
257,1,0.162
258,1,0.154
259,1,0.154
260,1,0.157
261,1,0.157
262,1,0.149
263,1,0.149
264,1,0.151
265,1,0.151
266,1,0.147
267,1,0.147
268,1,0.154
269,1,0.154
270,1,0.151
271,1,0.151
272,1,0.171
273,1,0.171
274,1,0.16
275,1,0.16
276,1,0.146
277,1,0.146
278,1,0.159
279,1,0.159
280,1,0.167
281,1,0.167
282,1,0.161
283,1,0.161
284,1,0.141
285,1,0.141
286,1,0.153
287,1,0.153
288,1,0.144
289,1,0.144
290,1,0.139
291,1,0.139
292,1,0.143
293,1,0.143
294,1,0.157
295,1,0.157
296,1,0.14
297,1,0.14
298,1,0.142
299,1,0.142
300,1,0.138
301,1,0.138
302,1,0.142
303,1,0.142
304,1,0.146
305,1,0.146
306,1,0.15
307,1,0.15
308,1,0.166
309,1,0.166
310,1,0.155
311,1,0.155
312,1,0.135
313,1,0.135
314,1,0.151
315,1,0.151
316,1,0.147
317,1,0.147
318,1,0.182
319,1,0.182
320,1,0.145
321,1,0.145
322,1,0.133
323,1,0.133
324,1,0.131
325,1,0.131
326,1,0.131
327,1,0.131
328,1,0.13
329,1,0.13
330,1,0.143
331,1,0.143
332,1,0.135
333,1,0.135
334,1,0.146
335,1,0.146
336,1,0.128
337,1,0.128
338,1,0.127
339,1,0.127
340,1,0.133
341,1,0.133
342,1,0.129
343,1,0.129
344,1,0.141
345,1,0.141
346,1,0.124
347,1,0.124
348,1,0.136
349,1,0.136
350,1,0.123
351,1,0.123
352,1,0.124
353,1,0.124
354,1,0.144
355,1,0.144
356,1,0.124
357,1,0.124
358,1,0.126
359,1,0.126
360,1,0.139
361,1,0.139
362,1,0.144
363,1,0.144
364,1,0.135
365,1,0.135
366,1,0.122
367,1,0.122
368,1,0.173
369,1,0.173
370,1,0.121
371,1,0.121
372,1,0.135
373,1,0.135
374,1,0.12
375,1,0.12
376,1,0.117
377,1,0.117
378,1,0.139
379,1,0.139
380,1,0.122
381,1,0.122
382,1,0.121
383,1,0.121
384,1,0.123
385,1,0.123
386,1,0.118
387,1,0.118
388,1,0.16
389,1,0.16
390,1,0.113
391,1,0.113
392,1,0.117
393,1,0.117
394,1,0.126
395,1,0.126
396,1,0.177
397,1,0.177
398,1,0.177
