model,threshold,iou,seg_acc,pd,fa,obj_num,correct_num,false_num,frame_num
baseline_ReLU,0.05,0.13379621505737305,0.9054743051528931,0.9785804283914322,0.32505407520613283,4762,4660,109715476,3752
baseline_ReLU,0.1,0.14961175620555878,0.8762403726577759,0.9680806383872322,0.2374701478316352,4762,4610,80153280,3752
baseline_ReLU,0.15,0.16058394312858582,0.8671572208404541,0.9645107097858043,0.18625130181051802,4762,4593,62865387,3752
baseline_ReLU,0.2,0.1699918657541275,0.8615851998329163,0.9611507769844603,0.15668977434652312,4762,4577,52887487,3752
baseline_ReLU,0.25,0.17963925004005432,0.8573107719421387,0.9580008399832003,0.1323522874653601,4762,4562,44672857,3752
baseline_ReLU,0.3,0.18950028717517853,0.8530058264732361,0.9550608987820244,0.1097403750162356,4762,4548,37040660,3752
baseline_ReLU,0.35,0.19814646244049072,0.8486092686653137,0.9517009659806804,0.09265217436131291,4762,4532,31272881,3752
baseline_ReLU,0.4,0.20688778162002563,0.8442585468292236,0.9470810583788324,0.07756533109716614,4762,4510,26180620,3752
baseline_ReLU,0.45,0.21623119711875916,0.8393887877464294,0.9422511549769005,0.06376498711580887,4762,4487,21522591,3752
baseline_ReLU,0.5,0.226051926612854,0.8334961533546448,0.9357412851742966,0.05142555954743212,4762,4456,17357665,3752
baseline_ReLU,0.55,0.23704808950424194,0.8275730609893799,0.9286014279714405,0.04093922399531277,4762,4422,13818213,3752
baseline_ReLU,0.6,0.25012442469596863,0.8209019303321838,0.9181016379672406,0.03182600523236577,4762,4372,10742229,3752
baseline_ReLU,0.65,0.26476362347602844,0.8132995367050171,0.9078118437631247,0.023589399126453737,4762,4323,7962128,3752
baseline_ReLU,0.7,0.27878230810165405,0.8049644231796265,0.8956320873582528,0.01688444094082089,4762,4265,5699004,3752
baseline_ReLU,0.75,0.2918308675289154,0.794736385345459,0.885762284754305,0.011891034726639937,4762,4218,4013580,3752
baseline_ReLU,0.8,0.30277934670448303,0.7819588780403137,0.8735825283494331,0.00851920031267154,4762,4160,2875485,3752
baseline_ReLU,0.85,0.31395795941352844,0.7591670751571655,0.8527929441411172,0.005391436113278491,4762,4061,1819771,3752
baseline_ReLU,0.9,0.32399630546569824,0.7172472476959229,0.8135237295254095,0.0027119136579062384,4762,3874,915352,3752
baseline_ReLU,0.95,0.31711000204086304,0.6249351501464844,0.7066358672826544,0.001064545626058869,4762,3365,359316,3752
LeakyReLU,0.05,0.12952154874801636,0.8890178203582764,0.9762704745905082,0.33564767532312395,4762,4649,113291133,3752
LeakyReLU,0.1,0.14099350571632385,0.8671877384185791,0.9615707685846283,0.26546952933831763,4762,4579,89603909,3752
LeakyReLU,0.15,0.14949095249176025,0.8607608675956726,0.9548509029819403,0.21699145071346565,4762,4547,73241107,3752
LeakyReLU,0.2,0.16357578337192535,0.8559674024581909,0.9479210415791685,0.16456254307766258,4762,4514,55544782,3752
LeakyReLU,0.25,0.1755695343017578,0.8517693281173706,0.9435111297774045,0.12327136509853705,4762,4493,41607774,3752
LeakyReLU,0.3,0.19147981703281403,0.8465789556503296,0.9372112557748845,0.08872872366396437,4762,4463,29948599,3752
LeakyReLU,0.35,0.21096135675907135,0.8415717482566833,0.9349013019739605,0.06240069621087221,4762,4452,21062102,3752
LeakyReLU,0.4,0.22999487817287445,0.8367325067520142,0.9317513649727005,0.04419959866076465,4762,4437,14918687,3752
LeakyReLU,0.45,0.24543212354183197,0.8306872844696045,0.9256614867702646,0.032322494551001585,4762,4408,10909809,3752
LeakyReLU,0.5,0.2573590576648712,0.8249626159667969,0.9189416211675766,0.025158415585794586,4762,4376,8491718,3752
LeakyReLU,0.55,0.2687875032424927,0.8185204267501831,0.9120117597648048,0.01950664107051606,4762,4343,6584075,3752
LeakyReLU,0.6,0.2782002389431,0.8120324611663818,0.9069718605627888,0.015485187209477606,4762,4319,5226714,3752
LeakyReLU,0.65,0.2856871783733368,0.8045217394828796,0.9019319613607728,0.01259884753327942,4762,4295,4252488,3752
LeakyReLU,0.7,0.2926294207572937,0.7963392734527588,0.8956320873582528,0.010188172355209281,4762,4265,3438813,3752
LeakyReLU,0.75,0.29968559741973877,0.7857906222343445,0.8861822763544729,0.00798011921432032,4762,4220,2693529,3752
LeakyReLU,0.8,0.3084094524383545,0.7731658220291138,0.8729525409491811,0.005770750634491899,4762,4157,1947801,3752
LeakyReLU,0.85,0.33137667179107666,0.7497633695602417,0.8471230575388492,0.0030861619615825467,4762,4034,1041672,3752
LeakyReLU,0.9,0.35111120343208313,0.7100265622138977,0.7963040739185216,0.0012747462506434986,4762,3792,430265,3752
LeakyReLU,0.95,0.3277634084224701,0.6464903950691223,0.7318353632927341,0.0010653425924433604,4762,3485,359585,3752
