sample_index,file,class,class_reason,event_count_used,target_event_ratio,prediction_positive_ratio,background_false_positive_ratio,target_true_positive_ratio,spatial_concentration,temporal_concentration,structure_score
0,train_000.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0719,0.06465,0.0004309880400818877,0.8936022253129347,0.6769414575866188,0.4993472257092644,0.5881443416479416
1,train_001.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0714,0.06635,0.0022614688778806805,0.8998599439775911,0.658333333333333,0.35381153305203916,0.506072433192686
2,train_002.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.0874,0.08165,0.002410694718387026,0.9090389016018307,0.34007532431301435,0.2084623323013416,0.27426882830717797
3,train_003.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.1069,0.09755,0.00022393908856790953,0.9106641721234799,0.4298692871048484,0.24549549549549554,0.33768239130017197
4,train_004.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.03115,0.0277,0.001909480311709759,0.8298555377207063,0.6531590413943356,0.41065584331915994,0.5319074423567478
5,train_005.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0241,0.02155,0.0023055640946818322,0.8008298755186722,0.7613531657233119,0.20980468244729011,0.485578924085301
6,train_006.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.02895,0.0304,0.005252046753514237,0.8739205526770294,0.6091644204851752,0.4036441316913796,0.5064042760882774
7,train_007.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.02175,0.01595,0.0009711219013544595,0.6896551724137931,0.3745491490982982,0.18647577655630831,0.28051246282730324
8,train_008.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.0227,0.01785,0.0015348408881612607,0.7202643171806168,0.309499358151476,0.1460278460278459,0.22776360208966095
9,train_009.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.0442,0.03685,0.0004184975936388366,0.8246606334841629,0.4312236286919833,0.26803968353635554,0.3496316561141694
10,train_010.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.03675,0.0306,0.0012976901116013497,0.7986394557823129,0.39135505698005724,0.1665207056174154,0.2789378812987363
11,train_011.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.03605,0.03,0.0013486176668914363,0.7961165048543689,0.40045052850459184,0.3776479650789575,0.38904924679177466
12,train_012.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.0325,0.0276,0.0005684754521963825,0.8323076923076923,0.3679624542124541,0.12571166207529838,0.24683705814387624
13,train_013.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.04565,0.03815,0.0014145753654319694,0.8061336254107339,0.21095008051529796,0.09029757439359831,0.15062382745444813
14,train_014.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.05865,0.05155,0.0018590322409305785,0.8491048593350383,0.519740009629273,0.6918103448275862,0.6057751772284297
15,train_015.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.04705,0.04195,0.001993808699302167,0.8512221041445271,0.6606834197580109,0.4981311927756177,0.5794073062668144
16,train_016.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.05855,0.0527,0.0013808486908492219,0.8778821520068317,0.8167018729756372,0.3133358424288042,0.5650188577022207
17,train_017.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.0743,0.0706,0.0029167116776493466,0.9138627187079408,0.36940882076947135,0.20217608804402187,0.2857924544067466
18,train_018.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.0678,0.0627,0.0017700064363870415,0.9004424778761062,0.40441176470588236,0.14397189813072397,0.27419183141830317
19,train_019.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0323,0.0328,0.003978505735248527,0.8962848297213623,0.5968992248062015,0.3793757108555541,0.4881374678308778
20,train_020.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.0385,0.0367,0.00374414976599064,0.8597402597402597,0.3512238653748083,0.17367037917657357,0.26244712227569095
21,train_021.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.09165,0.08665,0.0022568393240491,0.9230769230769231,0.5264738598442713,0.23177618069815198,0.37912502027121164
22,train_022.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.03315,0.0318,0.0013445725810622123,0.9200603318250377,0.4822071171531388,0.36784897025171626,0.4250280437024275
23,train_023.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.08415,0.07735,0.0009280995796254845,0.9090909090909091,0.7568992248062015,0.46201453269857173,0.6094568787523866
24,train_024.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0709,0.0659,0.0019911742546550423,0.9033850493653033,0.9926474820143885,0.41274849301013217,0.7026979875122603
25,train_025.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.06335,0.0588,0.003843484759515294,0.8713496448303079,0.49130974549968964,0.5085014592056846,0.4999056023526871
26,train_026.npz,uniform_background,lower false-positive and lower structure concentration among remaining samples,20000,0.05005,0.04525,0.0020001052686983525,0.8661338661338661,0.32218506131549607,0.1344754282856071,0.22833024480055159
27,train_027.npz,structured_background,higher spatial/temporal concentration among remaining samples,20000,0.0588,0.05365,0.0015405864853378665,0.8877551020408163,0.6722445695897024,0.6135181975736568,0.6428813835816796
28,train_028.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.0452,0.161,0.12934645999162128,0.8296460176991151,0.5339927464556544,0.15829164582291144,0.34614219613928293
29,train_029.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.0628,0.1643,0.1218523260776782,0.7977707006369427,0.6949170924515569,0.20530132533133283,0.45010920889144485
30,train_030.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.08835,0.1864,0.11715022212471891,0.9009620826259196,0.5274560676170861,0.27658908908908897,0.4020225783530875
31,train_031.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.04935,0.1549,0.11954978172829117,0.8358662613981763,0.7046387739837895,0.14776026026026035,0.4261995171220249
32,train_032.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.1115,0.1753,0.08294879009566686,0.9112107623318386,0.768171848793704,0.3246745117676515,0.5464231802806778
33,train_033.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.1451,0.1926,0.07486255702421336,0.8862853204686423,0.5943644590703414,0.18571249843613158,0.3900384787532365
34,train_034.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.19315,0.2167,0.04437008117989713,0.9365777892829407,0.7708575612697592,0.09666208276034505,0.43375982201505214
35,train_035.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,19075,0.2166710353866317,0.2184534731323722,0.02221924775799759,0.9278974110815388,0.9841075429424944,0.1873484185523191,0.5857279807474067
36,train_036.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,18486,0.20377583035810884,0.2154062533809369,0.02744751681500102,0.9498274488983276,0.9796029867055182,0.241667708463558,0.6106353475845381
37,train_037.npz,hard_negative,background_false_positive_ratio in top third after LeakyReLU inference,20000,0.1637,0.18155,0.03533421021164654,0.9285277947464875,0.6860673905114609,0.25807259073842304,0.472069990624942
