split,source_npz,image_path,width,height,event_count
train,train_000.npz,images/train/train_000_event.ppm,346,260,39169
train,train_001.npz,images/train/train_001_event.ppm,346,260,42161
train,train_002.npz,images/train/train_002_event.ppm,346,260,44571
train,train_003.npz,images/train/train_003_event.ppm,346,260,47086
train,train_004.npz,images/train/train_004_event.ppm,346,260,45755
train,train_005.npz,images/train/train_005_event.ppm,346,260,46627
train,train_006.npz,images/train/train_006_event.ppm,346,260,47857
train,train_007.npz,images/train/train_007_event.ppm,346,260,51672
train,train_008.npz,images/train/train_008_event.ppm,346,260,54078
train,train_009.npz,images/train/train_009_event.ppm,346,260,55460
train,train_010.npz,images/train/train_010_event.ppm,346,260,54478
train,train_011.npz,images/train/train_011_event.ppm,346,260,55848
train,train_012.npz,images/train/train_012_event.ppm,346,260,56081
train,train_013.npz,images/train/train_013_event.ppm,346,260,57557
train,train_014.npz,images/train/train_014_event.ppm,346,260,59011
train,train_015.npz,images/train/train_015_event.ppm,346,260,25255
train,train_016.npz,images/train/train_016_event.ppm,346,260,25111
train,train_017.npz,images/train/train_017_event.ppm,346,260,25232
train,train_018.npz,images/train/train_018_event.ppm,346,260,23457
train,train_019.npz,images/train/train_019_event.ppm,346,260,22312
train,train_020.npz,images/train/train_020_event.ppm,346,260,23042
train,train_021.npz,images/train/train_021_event.ppm,346,260,22246
train,train_022.npz,images/train/train_022_event.ppm,346,260,21165
train,train_023.npz,images/train/train_023_event.ppm,346,260,22268
train,train_024.npz,images/train/train_024_event.ppm,346,260,21547
train,train_025.npz,images/train/train_025_event.ppm,346,260,20673
train,train_026.npz,images/train/train_026_event.ppm,346,260,21416
train,train_027.npz,images/train/train_027_event.ppm,346,260,21238
train,train_028.npz,images/train/train_028_event.ppm,346,260,56395
train,train_029.npz,images/train/train_029_event.ppm,346,260,59392
train,train_030.npz,images/train/train_030_event.ppm,346,260,54775
train,train_031.npz,images/train/train_031_event.ppm,346,260,61472
train,train_032.npz,images/train/train_032_event.ppm,346,260,30017
train,train_033.npz,images/train/train_033_event.ppm,346,260,26806
train,train_034.npz,images/train/train_034_event.ppm,346,260,20849
train,train_035.npz,images/train/train_035_event.ppm,346,260,19075
train,train_036.npz,images/train/train_036_event.ppm,346,260,18486
train,train_037.npz,images/train/train_037_event.ppm,346,260,20914
train,train_038.npz,images/train/train_038_event.ppm,346,260,17867
train,train_039.npz,images/train/train_039_event.ppm,346,260,20340
train,train_040.npz,images/train/train_040_event.ppm,346,260,44502
train,train_041.npz,images/train/train_041_event.ppm,346,260,44937
train,train_042.npz,images/train/train_042_event.ppm,346,260,43563
train,train_043.npz,images/train/train_043_event.ppm,346,260,44220
train,train_044.npz,images/train/train_044_event.ppm,346,260,297725
train,train_045.npz,images/train/train_045_event.ppm,346,260,278956
train,train_046.npz,images/train/train_046_event.ppm,346,260,272501
