x,y,t,p,label,name
76,226,0.0,1,1,1
76,224,0.166,0,1,1
75,224,1.108,0,1,1
77,224,1.613,0,1,1
225,5,10.453,1,0,0
226,6,10.476,1,0,0
90,8,10.542,1,0,0
40,11,10.655,1,0,0
96,12,10.687,1,0,0
240,15,10.789,1,0,0
305,19,10.931,1,0,0
110,19,10.953,1,0,0
178,21,11.003,1,0,0
137,26,11.184,1,0,0
243,39,11.633,1,0,0
167,39,11.641,1,0,0
148,40,11.672,1,0,0
146,44,11.818,1,0,0
252,55,12.223,1,0,0
192,58,12.315,1,0,0
175,62,12.445,1,0,0
42,94,13.58,1,0,0
171,96,13.645,1,0,0
188,96,13.662,1,0,0
168,100,13.791,1,0,0
330,101,13.832,1,0,0
185,102,13.85,1,0,0
72,110,14.144,1,0,0
213,116,14.347,1,0,0
83,126,14.721,1,0,0
105,128,14.778,1,0,0
89,132,14.919,1,0,0
232,134,14.992,1,0,0
186,140,15.221,1,0,0
242,148,15.5,1,0,0
243,149,15.516,1,0,0
36,151,15.583,1,0,0
112,152,15.645,1,0,0
75,154,15.694,1,0,0
195,157,15.818,1,0,0
192,159,15.867,1,0,0
200,160,15.907,1,0,0
205,163,16.004,1,0,0
109,166,16.112,1,0,0
264,167,16.165,1,0,0
39,171,16.296,1,0,0
34,171,16.305,1,0,0
40,173,16.37,1,0,0
204,174,16.392,1,0,0
150,174,16.401,1,0,0
293,180,16.614,1,0,0
304,181,16.655,1,0,0
89,184,16.748,1,0,0
160,188,16.884,1,0,0
201,188,16.894,1,0,0
127,196,17.174,1,0,0
187,199,17.282,1,0,0
240,202,17.382,1,0,0
247,204,17.455,1,0,0
293,207,17.565,1,0,0
286,221,18.07,1,0,0
76,224,18.291,0,1,1
94,252,19.14,1,0,0
126,1,19.599,1,0,0
196,3,19.675,1,0,0
96,4,19.706,1,0,0
78,225,19.731,1,1,1
217,6,19.773,1,0,0
344,7,19.799,1,0,0
198,7,19.807,1,0,0
196,12,19.973,1,0,0
193,12,19.979,1,0,0
75,225,19.982,1,1,1
235,12,19.986,1,0,0
196,13,20.007,1,0,0
60,14,20.046,1,0,0
164,14,20.052,1,0,0
34,14,20.063,1,0,0
57,14,20.069,1,0,0
231,15,20.087,1,0,0
49,16,20.115,1,0,0
172,16,20.121,1,0,0
195,16,20.13,1,0,0
76,17,20.174,1,0,0
192,18,20.214,1,0,0
74,20,20.264,1,0,0
288,21,20.295,1,0,0
167,22,20.328,1,0,0
48,22,20.336,1,0,0
234,23,20.365,1,0,0
293,24,20.396,1,0,0
324,24,20.408,1,0,0
57,26,20.472,1,0,0
303,27,20.527,1,0,0
228,29,20.576,1,0,0
192,31,20.65,1,0,0
134,32,20.68,1,0,0
53,32,20.69,1,0,0
48,33,20.747,1,0,0
48,34,20.779,1,0,0
219,35,20.794,1,0,0
136,36,20.832,1,0,0
95,36,20.846,1,0,0
66,37,20.856,1,0,0
184,37,20.861,1,0,0
92,37,20.877,1,0,0
66,38,20.893,1,0,0
275,38,20.894,1,0,0
95,38,20.902,1,0,0
99,39,20.927,1,0,0
185,39,20.935,1,0,0
133,39,20.942,1,0,0
140,40,20.965,1,0,0
229,42,21.034,1,0,0
138,42,21.039,1,0,0
137,43,21.07,1,0,0
153,44,21.111,1,0,0
152,46,21.175,1,0,0
322,46,21.194,1,0,0
197,47,21.212,1,0,0
143,47,21.225,1,0,0
305,47,21.24,1,0,0
105,48,21.247,1,0,0
30,50,21.315,1,0,0
110,50,21.323,1,0,0
143,51,21.354,1,0,0
143,53,21.423,1,0,0
167,54,21.462,1,0,0
128,54,21.469,1,0,0
40,54,21.482,1,0,0
53,55,21.49,1,0,0
199,55,21.504,1,0,0
232,56,21.529,1,0,0
273,56,21.535,1,0,0
73,56,21.555,1,0,0
145,59,21.651,1,0,0
181,61,21.703,1,0,0
78,62,21.748,1,0,0
136,62,21.748,1,0,0
344,64,21.812,1,0,0
249,65,21.863,1,0,0
341,66,21.903,1,0,0
65,68,21.952,1,0,0
106,70,22.026,1,0,0
187,70,22.043,1,0,0
114,71,22.086,1,0,0
191,73,22.15,1,0,0
199,74,22.164,1,0,0
262,74,22.185,1,0,0
215,76,22.236,1,0,0
257,76,22.261,1,0,0
183,77,22.268,1,0,0
77,80,22.375,1,0,0
109,80,22.383,1,0,0
85,83,22.499,1,0,0
166,86,22.61,1,0,0
143,87,22.627,1,0,0
245,89,22.694,1,0,0
152,91,22.764,1,0,0
200,94,22.868,1,0,0
32,96,22.938,1,0,0
40,96,22.939,1,0,0
34,96,22.949,1,0,0
243,98,23.016,1,0,0
47,101,23.118,1,0,0
