col0,col1,col2
76,226,0
76,224,0
75,224,1
77,224,1
225,5,10
226,6,10
90,8,10
40,11,10
96,12,10
240,15,10
305,19,10
110,19,10
178,21,11
137,26,11
243,39,11
167,39,11
148,40,11
146,44,11
252,55,12
192,58,12
175,62,12
42,94,13
171,96,13
188,96,13
168,100,13
330,101,13
185,102,13
72,110,14
213,116,14
83,126,14
105,128,14
89,132,14
232,134,14
186,140,15
242,148,15
243,149,15
36,151,15
112,152,15
75,154,15
195,157,15
192,159,15
200,160,15
205,163,16
109,166,16
264,167,16
39,171,16
34,171,16
40,173,16
204,174,16
150,174,16
293,180,16
304,181,16
89,184,16
160,188,16
201,188,16
127,196,17
187,199,17
240,202,17
247,204,17
293,207,17
286,221,18
76,224,18
94,252,19
126,1,19
196,3,19
96,4,19
78,225,19
217,6,19
344,7,19
198,7,19
196,12,19
193,12,19
75,225,19
235,12,19
196,13,20
60,14,20
164,14,20
34,14,20
57,14,20
231,15,20
49,16,20
172,16,20
195,16,20
76,17,20
192,18,20
74,20,20
288,21,20
167,22,20
48,22,20
234,23,20
293,24,20
324,24,20
57,26,20
303,27,20
228,29,20
192,31,20
134,32,20
53,32,20
48,33,20
48,34,20
219,35,20
136,36,20
95,36,20
66,37,20
184,37,20
92,37,20
66,38,20
275,38,20
95,38,20
99,39,20
185,39,20
133,39,20
140,40,20
229,42,21
138,42,21
137,43,21
153,44,21
152,46,21
322,46,21
197,47,21
143,47,21
305,47,21
105,48,21
30,50,21
110,50,21
143,51,21
143,53,21
167,54,21
128,54,21
40,54,21
53,55,21
199,55,21
232,56,21
273,56,21
73,56,21
145,59,21
181,61,21
78,62,21
136,62,21
344,64,21
249,65,21
341,66,21
65,68,21
106,70,22
187,70,22
114,71,22
191,73,22
199,74,22
262,74,22
215,76,22
257,76,22
183,77,22
77,80,22
109,80,22
85,83,22
166,86,22
143,87,22
245,89,22
152,91,22
200,94,22
32,96,22
40,96,22
34,96,22
243,98,23
47,101,23
342,102,23
36,102,23
153,103,23
165,108,23
140,110,23
76,225,23
132,117,23
127,118,23
41,118,23
213,119,23
103,119,23
336,120,23
343,120,23
162,122,23
320,127,24
57,128,24
98,133,24
10,136,24
75,224,24
209,143,24
197,144,24
33,148,24
125,152,24
52,152,24
106,153,24
175,154,24
157,159,25
275,157,25
94,158,25
167,158,25
151,159,25
110,159,25
160,159,25
55,160,25
300,160,25
234,163,25
246,164,25
53,165,25
295,166,25
305,167,25
284,167,25
130,169,25
77,224,25
134,171,25
208,172,25
218,173,25
128,175,25
325,175,25
166,176,25
165,178,25
178,179,25
248,180,25
284,182,25
178,183,26
297,184,26
149,184,26
98,186,26
312,187,26
200,189,26
79,192,26
174,192,26
80,193,26
77,193,26
238,197,26
72,199,26
111,200,26
106,202,26
140,203,26
200,205,26
113,206,26
116,208,26
179,212,27
245,223,27
77,226,27
328,230,27
184,232,27
154,240,28
330,242,28
8,252,28
187,254,28
86,103,28
78,225,29
76,224,30
77,225,31
75,225,33
78,224,34
76,225,37
79,224,37
77,223,38
79,225,39
75,223,40
74,223,47
79,223,49
219,5,50
335,5,50
258,12,50
189,14,50
241,16,50
82,16,50
273,21,51
58,21,51
244,21,51
216,24,51
68,31,51
307,32,51
68,32,51
196,32,51
77,223,51
305,35,51
51,40,51
160,42,51
63,44,51
50,47,51
77,224,51
104,51,52
109,55,52
100,56,52
48,61,52
158,64,52
78,223,52
67,72,52
67,78,53
111,82,53
153,83,53
198,86,53
72,87,53
90,87,53
258,91,53
200,91,53
258,92,53
114,101,53
176,106,53
55,112,54
224,115,54
70,118,54
104,119,54
243,120,54
262,120,54
51,122,54
260,123,54
49,124,54
166,127,54
51,128,54
47,128,54
48,132,54
45,133,54
221,134,54
288,136,55
158,147,55
212,151,55
51,152,55
184,156,55
249,158,55
94,159,55
185,160,55
278,160,55
184,161,55
178,163,56
158,164,56
208,165,56
264,166,56
185,167,56
250,168,56
92,114,56
238,174,56
162,175,56
209,175,56
168,176,56
168,178,56
103,180,56
176,181,56
180,184,56
312,186,56
72,187,56
182,188,56
247,188,56
72,189,56
206,191,56
83,192,57
44,192,57
180,192,57
280,199,57
55,200,57
72,202,57
304,204,57
271,206,57
225,207,57
297,208,57
237,212,57
236,213,57
47,214,57
41,216,57
181,220,58
228,222,58
31,224,58
16,6,59
302,7,59
316,11,59
164,12,60
50,14,60
171,24,60
135,24,60
135,27,60
26,30,60
304,32,60
303,35,60
211,35,60
78,39,60
291,42,61
183,42,61
78,43,61
186,44,61
343,47,61
146,47,61
71,48,61
192,52,61
160,53,61
224,55,61
83,56,61
20,58,61
81,60,61
42,61,61
141,62,61
43,62,61
95,63,61
82,63,61
256,68,61
104,68,61
335,69,62
256,70,62
244,70,62
46,70,62
136,71,62
162,71,62
168,72,62
278,75,62
89,76,62
181,78,62
163,79,62
255,80,62
42,80,62
46,80,62
119,83,62
296,83,62
320,84,62
42,86,62
215,87,62
16,87,62
173,92,62
114,94,62
86,95,62
26,95,62
307,96,62
327,98,63
161,101,63
166,102,63
131,104,63
132,105,63
257,106,63
262,107,63
264,107,63
260,108,63
309,109,63
131,109,63
128,109,63
229,112,63
175,127,64
139,133,64
208,134,64
232,135,64
109,136,64
318,138,64
222,140,64
215,142,64
220,143,64
112,144,64
112,146,64
247,149,64
299,151,64
232,153,64
320,154,64
77,224,65
328,160,65
284,160,65
76,224,65
184,170,65
187,176,65
185,178,65
190,180,65
25,184,66
240,192,66
175,196,66
174,196,66
173,198,66
77,223,66
148,205,66
53,206,66
190,208,66
152,208,66
158,210,66
78,224,67
152,212,67
25,213,67
307,215,67
91,216,67
32,218,67
88,219,67
79,225,67
172,226,67
103,228,67
146,229,67
227,231,67
328,232,67
147,232,67
234,236,67
165,239,68
215,253,68
78,223,73
76,224,75
77,224,75
79,224,76
78,224,79
77,222,79
76,222,80
79,223,81
74,222,88
198,4,90
185,7,90
162,12,90
264,13,90
163,13,90
166,15,90
279,15,90
199,19,90
203,24,91
288,28,91
291,29,91
210,30,91
207,30,91
51,32,91
226,37,91
215,39,91
287,45,91
76,224,92
218,59,92
54,62,92
104,70,92
225,71,92
80,84,93
280,85,93
242,85,93
209,88,93
65,93,93
129,99,93
96,103,93
295,104,93
289,105,93
269,107,94
74,107,94
322,108,94
321,110,94
218,111,94
204,80,94
286,117,94
40,118,94
223,121,94
63,122,94
69,124,94
334,124,94
58,126,94
160,127,94
172,131,94
342,133,94
151,141,95
91,149,95
342,149,95
265,150,95
304,152,95
208,155,95
215,160,95
338,165,96
102,166,96
213,166,96
168,168,96
95,171,96
132,176,96
28,177,96
225,184,96
200,190,96
182,192,97
215,198,97
158,199,97
68,199,97
307,204,97
194,207,97
207,208,97
28,212,97
203,213,97
157,214,97
343,220,98
334,222,98
200,224,98
183,224,98
188,228,98
201,230,98
204,231,98
307,238,98
74,250,99
157,2,99
153,5,99
71,6,99
334,6,99
64,11,99
63,12,99
50,16,100
76,222,100
208,18,100
279,19,100
184,20,100
131,21,100
95,22,100
312,23,100
50,24,100
55,26,100
63,28,100
184,29,100
58,29,100
94,30,100
279,36,100
276,36,100
155,37,100
343,38,100
97,42,101
325,44,101
335,45,101
86,47,101
267,53,101
44,56,101
264,56,101
217,62,101
232,69,101
31,70,102
78,77,102
243,79,102
33,85,102
317,86,102
120,87,102
313,91,102
71,92,102
261,94,102
174,96,102
128,96,102
173,97,102
131,97,102
302,98,103
295,102,103
288,104,103
240,108,103
267,110,103
249,112,103
135,117,103
56,118,103
139,119,103
113,120,103
66,120,103
288,122,103
64,125,103
42,127,104
124,133,104
200,136,104
201,139,104
244,142,104
295,149,104
296,150,104
204,152,104
274,158,105
277,158,105
11,159,105
75,223,105
57,160,105
120,165,105
130,178,105
143,181,105
218,184,106
220,187,106
321,192,106
77,222,106
181,198,106
208,199,106
224,203,106
165,206,106
108,214,107
119,215,107
109,220,107
112,221,107
78,223,107
104,224,107
215,228,107
207,230,107
160,236,107
191,246,108
152,251,108
310,254,108
76,223,112
76,222,113
77,223,113
75,222,114
75,223,117
79,223,123
76,222,126
79,222,129
322,4,130
233,23,131
146,27,131
182,38,131
77,221,131
76,223,131
214,61,132
123,63,132
210,79,133
339,86,133
108,87,133
240,91,133
167,95,133
94,96,133
94,99,133
210,100,133
90,102,133
250,104,133
65,104,133
117,107,134
126,109,134
220,109,134
89,112,134
151,112,134
324,114,134
224,117,134
227,118,134
64,119,134
84,120,134
222,120,134
86,121,134
262,124,134
283,124,134
136,124,134
314,68,134
205,127,134
190,128,134
56,129,134
64,129,134
321,134,134
320,134,134
192,143,135
37,144,135
289,144,135
36,149,135
195,150,135
206,151,135
37,151,135
79,154,135
326,155,135
321,155,135
215,157,135
76,221,135
210,157,135
314,159,135
75,160,135
121,164,136
75,164,136
64,166,136
76,168,136
47,168,136
224,171,136
224,174,136
204,174,136
123,175,136
47,179,136
98,180,136
248,184,136
62,185,136
252,187,136
51,190,136
203,191,136
304,199,137
252,200,137
256,201,137
74,202,137
78,221,137
200,208,137
199,209,137
200,210,137
74,215,137
79,223,138
152,225,138
146,229,138
155,232,138
135,238,138
203,240,138
18,246,138
250,247,138
113,4,139
218,6,139
253,6,139
170,7,139
167,7,139
110,7,139
166,7,139
115,11,139
250,13,140
214,13,140
113,13,140
211,14,140
300,14,140
34,15,140
297,17,140
236,19,140
217,19,140
76,20,140
299,22,140
320,24,140
199,24,140
130,28,140
202,30,140
323,30,140
324,32,140
320,33,140
318,35,140
215,36,140
103,36,140
326,37,140
62,38,140
335,38,140
26,39,140
200,40,140
301,40,140
95,44,141
169,45,141
290,47,141
32,48,141
144,50,141
222,50,141
63,51,141
175,52,141
89,54,141
169,55,141
269,55,141
115,56,141
20,57,141
111,59,141
222,59,141
198,60,141
193,62,141
215,63,141
202,63,141
53,64,141
54,65,141
127,66,141
336,68,141
94,69,141
120,71,142
255,71,142
256,72,142
120,72,142
343,75,142
58,76,142
243,76,142
173,77,142
259,77,142
37,78,142
245,78,142
193,79,142
170,80,142
9,82,142
217,83,142
216,84,142
301,86,142
296,87,142
158,87,142
67,88,142
65,88,142
280,91,142
106,93,142
216,95,142
238,95,142
327,96,142
142,101,143
304,101,143
141,102,143
290,103,143
188,104,143
151,50,143
192,107,143
190,108,143
253,109,143
322,110,143
145,110,143
123,112,143
223,114,143
284,115,143
243,116,143
224,116,143
136,118,143
244,120,143
63,120,143
241,123,143
118,123,143
304,124,143
298,124,143
300,125,143
298,125,143
132,126,143
299,126,144
86,127,144
80,127,144
297,128,144
214,131,144
48,131,144
47,133,144
128,134,144
90,135,144
257,136,144
304,139,144
257,141,144
259,141,144
320,143,144
315,143,144
235,144,144
125,144,144
175,149,144
238,150,144
104,151,144
125,154,144
288,157,145
294,158,145
74,159,145
189,160,145
191,161,145
187,164,145
302,165,145
256,167,145
27,168,145
24,169,145
175,174,145
27,175,145
95,175,145
259,180,145
166,182,145
94,183,146
161,184,146
200,184,146
112,188,146
279,189,146
195,190,146
168,191,146
229,191,146
37,192,146
178,195,146
144,197,146
39,198,146
225,199,146
92,206,146
120,209,146
123,210,146
313,214,147
235,214,147
122,215,147
317,215,147
86,216,147
274,224,147
111,224,147
244,230,147
103,231,147
132,234,147
234,236,147
77,221,147
198,258,148
75,222,149
76,222,153
75,222,163
77,221,163
76,222,163
75,221,164
78,221,164
79,221,169
78,222,169
74,222,169
256,7,170
283,12,170
87,15,170
267,24,171
271,26,171
312,27,171
273,35,171
286,36,171
277,38,171
116,38,171
203,38,171
319,42,171
263,45,171
138,48,171
287,53,172
252,54,172
114,57,172
