split,stem,source_npz,image_path,mask_path,map_path,width,height,event_count,positive_event_count,positive_pixel_count,status,message
train,train_000,/root/EV-UAV-dataset/train/train_000.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_000.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_000_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_000_pixel_event_map.npz,346,260,39169,2790,849,ok,
train,train_001,/root/EV-UAV-dataset/train/train_001.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_001.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_001_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_001_pixel_event_map.npz,346,260,42161,3015,906,ok,
train,train_002,/root/EV-UAV-dataset/train/train_002.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_002.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_002_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_002_pixel_event_map.npz,346,260,44571,3955,1212,ok,
train,train_003,/root/EV-UAV-dataset/train/train_003.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_003.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_003_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_003_pixel_event_map.npz,346,260,47086,5155,1364,ok,
train,train_004,/root/EV-UAV-dataset/train/train_004.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_004.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_004_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_004_pixel_event_map.npz,346,260,45755,1414,550,ok,
train,train_005,/root/EV-UAV-dataset/train/train_005.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_005.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_005_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_005_pixel_event_map.npz,346,260,46627,1147,526,ok,
train,train_006,/root/EV-UAV-dataset/train/train_006.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_006.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_006_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_006_pixel_event_map.npz,346,260,47857,1340,542,ok,
train,train_007,/root/EV-UAV-dataset/train/train_007.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_007.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_007_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_007_pixel_event_map.npz,346,260,51672,1078,554,ok,
train,train_008,/root/EV-UAV-dataset/train/train_008.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_008.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_008_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_008_pixel_event_map.npz,346,260,54078,1192,551,ok,
train,train_009,/root/EV-UAV-dataset/train/train_009.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_009.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_009_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_009_pixel_event_map.npz,346,260,55460,2485,848,ok,
train,train_010,/root/EV-UAV-dataset/train/train_010.npz,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/images/train/train_010.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/masks/train/train_010_mask.png,/root/EV-UAV/log/versions/v2.0.0-2d-vision-pipeline/maps/train/train_010_pixel_event_map.npz,346,260,54478,1979,697,ok,
