variant,epoch,batch,loss,lr
v002_d_pool_retrain,0,0,0.33639609813690186,0.001
v002_d_pool_retrain,0,1,0.31394267082214355,0.001
v002_d_pool_retrain,0,2,0.30494916439056396,0.001
v002_d_pool_retrain,0,3,0.30891913175582886,0.001
v002_d_pool_retrain,0,4,0.29598790407180786,0.001
v002_d_pool_retrain,0,5,0.2855481803417206,0.001
v002_d_pool_retrain,0,6,0.30901145935058594,0.001
v002_d_pool_retrain,0,7,0.2885313332080841,0.001
v002_d_pool_retrain,0,8,0.29712942242622375,0.001
v002_d_pool_retrain,0,9,0.27471256256103516,0.001
v002_d_pool_retrain,0,10,0.28549468517303467,0.001
v002_d_pool_retrain,0,11,0.285441130399704,0.001
v002_d_pool_retrain,0,12,0.27161893248558044,0.001
v002_d_pool_retrain,0,13,0.26474666595458984,0.001
v002_d_pool_retrain,0,14,0.2783540189266205,0.001
v002_d_pool_retrain,0,15,0.2673914134502411,0.001
v002_d_pool_retrain,0,16,0.27454736828804016,0.001
v002_d_pool_retrain,0,17,0.2558419406414032,0.001
v002_d_pool_retrain,0,18,0.25798672437667847,0.001
v002_d_pool_retrain,0,19,0.27916043996810913,0.001
v002_d_pool_retrain,0,20,0.2644776403903961,0.001
v002_d_pool_retrain,0,21,0.2678714394569397,0.001
v002_d_pool_retrain,0,22,0.27092549204826355,0.001
v002_d_pool_retrain,0,23,0.3238227665424347,0.001
v002_d_pool_retrain,0,24,0.26115182042121887,0.001
v002_d_pool_retrain,0,25,0.28791344165802,0.001
v002_d_pool_retrain,0,26,0.254140168428421,0.001
v002_d_pool_retrain,0,27,0.27897918224334717,0.001
v002_d_pool_retrain,0,28,0.2553552985191345,0.001
v002_d_pool_retrain,0,29,0.24284447729587555,0.001
v002_d_pool_retrain,0,30,0.2627866566181183,0.001
v002_d_pool_retrain,0,31,0.268733948469162,0.001
v002_d_pool_retrain,0,32,0.2512141764163971,0.001
v002_d_pool_retrain,0,33,0.23156143724918365,0.001
v002_d_pool_retrain,0,34,0.23195324838161469,0.001
v002_d_pool_retrain,0,35,0.2302427738904953,0.001
v002_d_pool_retrain,0,36,0.24106018245220184,0.001
v002_d_pool_retrain,0,37,0.24893522262573242,0.001
v002_d_pool_retrain,0,38,0.26114314794540405,0.001
v002_d_pool_retrain,0,39,0.22140094637870789,0.001
v002_d_pool_retrain,0,40,0.22195737063884735,0.001
v002_d_pool_retrain,0,41,0.21865421533584595,0.001
v002_d_pool_retrain,0,42,0.2276526242494583,0.001
v002_d_pool_retrain,0,43,0.2323826551437378,0.001
v002_d_pool_retrain,0,44,0.23899726569652557,0.001
v002_d_pool_retrain,0,45,0.22563549876213074,0.001
v002_d_pool_retrain,0,46,0.2198343276977539,0.001
v002_d_pool_retrain,0,47,0.2154979705810547,0.001
v002_d_pool_retrain,0,48,0.21023978292942047,0.001
v002_d_pool_retrain,0,49,0.21120145916938782,0.001
v002_d_pool_retrain,0,50,0.24213369190692902,0.001
v002_d_pool_retrain,0,51,0.20875389873981476,0.001
v002_d_pool_retrain,0,52,0.2347133308649063,0.001
v002_d_pool_retrain,0,53,0.23113276064395905,0.001
v002_d_pool_retrain,0,54,0.22967875003814697,0.001
v002_d_pool_retrain,0,55,0.20694705843925476,0.001
v002_d_pool_retrain,0,56,0.2033309042453766,0.001
v002_d_pool_retrain,0,57,0.24718298017978668,0.001
v002_d_pool_retrain,0,58,0.21085761487483978,0.001
v002_d_pool_retrain,0,59,0.21454741060733795,0.001
v002_d_pool_retrain,0,60,0.21563680469989777,0.001
v002_d_pool_retrain,0,61,0.19698746502399445,0.001
v002_d_pool_retrain,0,62,0.21574096381664276,0.001
v002_d_pool_retrain,0,63,0.22279022634029388,0.001
v002_d_pool_retrain,0,64,0.1971501260995865,0.001
v002_d_pool_retrain,0,65,0.2311401516199112,0.001
v002_d_pool_retrain,0,66,0.2099745124578476,0.001
v002_d_pool_retrain,0,67,0.20785380899906158,0.001
v002_d_pool_retrain,0,68,0.1942441612482071,0.001
v002_d_pool_retrain,0,69,0.20976337790489197,0.001
v002_d_pool_retrain,0,70,0.20855574309825897,0.001
v002_d_pool_retrain,0,71,0.19295842945575714,0.001
v002_d_pool_retrain,0,72,0.2178252935409546,0.001
v002_d_pool_retrain,0,73,0.20253416895866394,0.001
v002_d_pool_retrain,0,74,0.1866854429244995,0.001
v002_d_pool_retrain,0,75,0.20776429772377014,0.001
v002_d_pool_retrain,0,76,0.18642140924930573,0.001
v002_d_pool_retrain,0,77,0.18412627279758453,0.001
v002_d_pool_retrain,0,78,0.18057717382907867,0.001
v002_d_pool_retrain,0,79,0.1813628226518631,0.001
v002_d_pool_retrain,0,80,0.18558715283870697,0.001
v002_d_pool_retrain,0,81,0.1888483315706253,0.001
v002_d_pool_retrain,0,82,0.17779022455215454,0.001
v002_d_pool_retrain,0,83,0.18749645352363586,0.001
v002_d_pool_retrain,0,84,0.17644178867340088,0.001
v002_d_pool_retrain,0,85,0.2024288773536682,0.001
v002_d_pool_retrain,0,86,0.20024889707565308,0.001
v002_d_pool_retrain,0,87,0.17728659510612488,0.001
v002_d_pool_retrain,0,88,0.17279177904129028,0.001
v002_d_pool_retrain,0,89,0.17404088377952576,0.001
v002_d_pool_retrain,0,90,0.1954435259103775,0.001
v002_d_pool_retrain,0,91,0.19006949663162231,0.001
v002_d_pool_retrain,0,92,0.16965177655220032,0.001
v002_d_pool_retrain,0,93,0.17532853782176971,0.001
v002_d_pool_retrain,0,94,0.166826531291008,0.001
v002_d_pool_retrain,0,95,0.18578070402145386,0.001
v002_d_pool_retrain,0,96,0.18919406831264496,0.001
v002_d_pool_retrain,0,97,0.18948189914226532,0.001
v002_d_pool_retrain,0,98,0.1661137193441391,0.001
v002_d_pool_retrain,1,0,0.16449454426765442,0.001
v002_d_pool_retrain,1,1,0.18023864924907684,0.001
v002_d_pool_retrain,1,2,0.17846287786960602,0.001
v002_d_pool_retrain,1,3,0.1708258092403412,0.001
v002_d_pool_retrain,1,4,0.1904997080564499,0.001
v002_d_pool_retrain,1,5,0.18817944824695587,0.001
v002_d_pool_retrain,1,6,0.1713320016860962,0.001
v002_d_pool_retrain,1,7,0.17249491810798645,0.001
v002_d_pool_retrain,1,8,0.17484542727470398,0.001
v002_d_pool_retrain,1,9,0.1590423583984375,0.001
v002_d_pool_retrain,1,10,0.16461941599845886,0.001
v002_d_pool_retrain,1,11,0.17667889595031738,0.001
v002_d_pool_retrain,1,12,0.1562453657388687,0.001
v002_d_pool_retrain,1,13,0.1537456214427948,0.001
v002_d_pool_retrain,1,14,0.15972571074962616,0.001
v002_d_pool_retrain,1,15,0.1579171121120453,0.001
v002_d_pool_retrain,1,16,0.1585235595703125,0.001
v002_d_pool_retrain,1,17,0.15562066435813904,0.001
v002_d_pool_retrain,1,18,0.15597465634346008,0.001
v002_d_pool_retrain,1,19,0.22137963771820068,0.001
v002_d_pool_retrain,1,20,0.17729046940803528,0.001
v002_d_pool_retrain,1,21,0.14965875446796417,0.001
v002_d_pool_retrain,1,22,0.17663432657718658,0.001
v002_d_pool_retrain,1,23,0.1966390162706375,0.001
v002_d_pool_retrain,1,24,0.16831906139850616,0.001
v002_d_pool_retrain,1,25,0.15116006135940552,0.001
v002_d_pool_retrain,1,26,0.20429958403110504,0.001
v002_d_pool_retrain,1,27,0.14584916830062866,0.001
v002_d_pool_retrain,1,28,0.17063899338245392,0.001
v002_d_pool_retrain,1,29,0.14672067761421204,0.001
v002_d_pool_retrain,1,30,0.16550135612487793,0.001
v002_d_pool_retrain,1,31,0.19696855545043945,0.001
v002_d_pool_retrain,1,32,0.16091161966323853,0.001
v002_d_pool_retrain,1,33,0.14587785303592682,0.001
v002_d_pool_retrain,1,34,0.14280971884727478,0.001
v002_d_pool_retrain,1,35,0.1511220484972,0.001
v002_d_pool_retrain,1,36,0.14316032826900482,0.001
v002_d_pool_retrain,1,37,0.1463342308998108,0.001
v002_d_pool_retrain,1,38,0.14048419892787933,0.001
v002_d_pool_retrain,1,39,0.16016848385334015,0.001
v002_d_pool_retrain,1,40,0.17077679932117462,0.001
v002_d_pool_retrain,1,41,0.15648625791072845,0.001
v002_d_pool_retrain,1,42,0.14102604985237122,0.001
v002_d_pool_retrain,1,43,0.13777494430541992,0.001
v002_d_pool_retrain,1,44,0.13684363663196564,0.001
v002_d_pool_retrain,1,45,0.15489184856414795,0.001
v002_d_pool_retrain,1,46,0.13496538996696472,0.001
v002_d_pool_retrain,1,47,0.1353871375322342,0.001
v002_d_pool_retrain,1,48,0.13727417588233948,0.001
v002_d_pool_retrain,1,49,0.15150460600852966,0.001
v002_d_pool_retrain,1,50,0.15624107420444489,0.001
v002_d_pool_retrain,1,51,0.1711387187242508,0.001
v002_d_pool_retrain,1,52,0.14129337668418884,0.001
v002_d_pool_retrain,1,53,0.1411256194114685,0.001
v002_d_pool_retrain,1,54,0.14701290428638458,0.001
v002_d_pool_retrain,1,55,0.163739874958992,0.001
v002_d_pool_retrain,1,56,0.13701891899108887,0.001
v002_d_pool_retrain,1,57,0.15371546149253845,0.001
v002_d_pool_retrain,1,58,0.13330471515655518,0.001
v002_d_pool_retrain,1,59,0.18264387547969818,0.001
v002_d_pool_retrain,1,60,0.14576426148414612,0.001
v002_d_pool_retrain,1,61,0.14557644724845886,0.001
v002_d_pool_retrain,1,62,0.14455731213092804,0.001
v002_d_pool_retrain,1,63,0.1260111778974533,0.001
v002_d_pool_retrain,1,64,0.12592391669750214,0.001
v002_d_pool_retrain,1,65,0.14365671575069427,0.001
v002_d_pool_retrain,1,66,0.12838488817214966,0.001
v002_d_pool_retrain,1,67,0.12528544664382935,0.001
v002_d_pool_retrain,1,68,0.12696242332458496,0.001
v002_d_pool_retrain,1,69,0.14074860513210297,0.001
v002_d_pool_retrain,1,70,0.12453237175941467,0.001
v002_d_pool_retrain,1,71,0.1317431628704071,0.001
v002_d_pool_retrain,1,72,0.12689834833145142,0.001
v002_d_pool_retrain,1,73,0.13560797274112701,0.001
v002_d_pool_retrain,1,74,0.13363996148109436,0.001
v002_d_pool_retrain,1,75,0.12242298573255539,0.001
v002_d_pool_retrain,1,76,0.14218230545520782,0.001
v002_d_pool_retrain,1,77,0.12689679861068726,0.001
v002_d_pool_retrain,1,78,0.12019862979650497,0.001
v002_d_pool_retrain,1,79,0.1180562973022461,0.001
v002_d_pool_retrain,1,80,0.12867507338523865,0.001
v002_d_pool_retrain,1,81,0.13566550612449646,0.001
v002_d_pool_retrain,1,82,0.1391340047121048,0.001
v002_d_pool_retrain,1,83,0.12187536060810089,0.001
v002_d_pool_retrain,1,84,0.12861941754817963,0.001
v002_d_pool_retrain,1,85,0.11547348648309708,0.001
v002_d_pool_retrain,1,86,0.11673746258020401,0.001
v002_d_pool_retrain,1,87,0.1354336440563202,0.001
v002_d_pool_retrain,1,88,0.16279922425746918,0.001
v002_d_pool_retrain,1,89,0.13342878222465515,0.001
v002_d_pool_retrain,1,90,0.11893394589424133,0.001
v002_d_pool_retrain,1,91,0.11747533828020096,0.001
v002_d_pool_retrain,1,92,0.12781037390232086,0.001
v002_d_pool_retrain,1,93,0.1122310608625412,0.001
v002_d_pool_retrain,1,94,0.13233329355716705,0.001
v002_d_pool_retrain,1,95,0.11973290890455246,0.001
v002_d_pool_retrain,1,96,0.11530312150716782,0.001
v002_d_pool_retrain,1,97,0.11486899107694626,0.001
v002_d_pool_retrain,1,98,0.1330161839723587,0.001
v002_d_pool_retrain,2,0,0.1101420596241951,0.001
v002_d_pool_retrain,2,1,0.1344495266675949,0.001
v002_d_pool_retrain,2,2,0.10918761789798737,0.001
v002_d_pool_retrain,2,3,0.1270444244146347,0.001
v002_d_pool_retrain,2,4,0.13111670315265656,0.001
v002_d_pool_retrain,2,5,0.1300298124551773,0.001
v002_d_pool_retrain,2,6,0.10689237713813782,0.001
v002_d_pool_retrain,2,7,0.11600341647863388,0.001
v002_d_pool_retrain,2,8,0.11366867274045944,0.001
v002_d_pool_retrain,2,9,0.11486901342868805,0.001
v002_d_pool_retrain,2,10,0.11612680554389954,0.001
v002_d_pool_retrain,2,11,0.10985562950372696,0.001
v002_d_pool_retrain,2,12,0.10609608888626099,0.001
v002_d_pool_retrain,2,13,0.12186389416456223,0.001
v002_d_pool_retrain,2,14,0.14212638139724731,0.001
v002_d_pool_retrain,2,15,0.10464062541723251,0.001
v002_d_pool_retrain,2,16,0.11047497391700745,0.001
v002_d_pool_retrain,2,17,0.1619209200143814,0.001
v002_d_pool_retrain,2,18,0.10310239344835281,0.001
v002_d_pool_retrain,2,19,0.10092183947563171,0.001
v002_d_pool_retrain,2,20,0.11433642357587814,0.001
v002_d_pool_retrain,2,21,0.11130733042955399,0.001
v002_d_pool_retrain,2,22,0.11339806765317917,0.001
v002_d_pool_retrain,2,23,0.10633239150047302,0.001
v002_d_pool_retrain,2,24,0.11881761252880096,0.001
v002_d_pool_retrain,2,25,0.11835207790136337,0.001
v002_d_pool_retrain,2,26,0.11116760224103928,0.001
v002_d_pool_retrain,2,27,0.09935840964317322,0.001
v002_d_pool_retrain,2,28,0.10373904556035995,0.001
v002_d_pool_retrain,2,29,0.10184630751609802,0.001
v002_d_pool_retrain,2,30,0.09637711197137833,0.001
v002_d_pool_retrain,2,31,0.11170139163732529,0.001
v002_d_pool_retrain,2,32,0.09578752517700195,0.001
v002_d_pool_retrain,2,33,0.10615702718496323,0.001
v002_d_pool_retrain,2,34,0.10396084934473038,0.001
v002_d_pool_retrain,2,35,0.09655926376581192,0.001
v002_d_pool_retrain,2,36,0.09516792744398117,0.001
v002_d_pool_retrain,2,37,0.10506690293550491,0.001
v002_d_pool_retrain,2,38,0.156701922416687,0.001
v002_d_pool_retrain,2,39,0.10467080771923065,0.001
v002_d_pool_retrain,2,40,0.09443001449108124,0.001
v002_d_pool_retrain,2,41,0.12163697183132172,0.001
v002_d_pool_retrain,2,42,0.11115298420190811,0.001
v002_d_pool_retrain,2,43,0.09670484811067581,0.001
v002_d_pool_retrain,2,44,0.1791953295469284,0.001
v002_d_pool_retrain,2,45,0.09192367643117905,0.001
v002_d_pool_retrain,2,46,0.09213273972272873,0.001
v002_d_pool_retrain,2,47,0.09337154775857925,0.001
v002_d_pool_retrain,2,48,0.0949016809463501,0.001
v002_d_pool_retrain,2,49,0.09552626311779022,0.001
v002_d_pool_retrain,2,50,0.08946842700242996,0.001
v002_d_pool_retrain,2,51,0.09257145971059799,0.001
v002_d_pool_retrain,2,52,0.09432253241539001,0.001
v002_d_pool_retrain,2,53,0.11350607126951218,0.001
v002_d_pool_retrain,2,54,0.08873213082551956,0.001
v002_d_pool_retrain,2,55,0.08770245313644409,0.001
v002_d_pool_retrain,2,56,0.08847232162952423,0.001
v002_d_pool_retrain,2,57,0.09717486053705215,0.001
v002_d_pool_retrain,2,58,0.09658125042915344,0.001
v002_d_pool_retrain,2,59,0.1347672939300537,0.001
v002_d_pool_retrain,2,60,0.09020911902189255,0.001
v002_d_pool_retrain,2,61,0.1197175458073616,0.001
v002_d_pool_retrain,2,62,0.10092415660619736,0.001
v002_d_pool_retrain,2,63,0.09231730550527573,0.001
v002_d_pool_retrain,2,64,0.08898300677537918,0.001
v002_d_pool_retrain,2,65,0.08693338185548782,0.001
v002_d_pool_retrain,2,66,0.09185392409563065,0.001
v002_d_pool_retrain,2,67,0.09950807690620422,0.001
v002_d_pool_retrain,2,68,0.08398466557264328,0.001
v002_d_pool_retrain,2,69,0.12649226188659668,0.001
v002_d_pool_retrain,2,70,0.08927156031131744,0.001
v002_d_pool_retrain,2,71,0.08302104473114014,0.001
v002_d_pool_retrain,2,72,0.08639035373926163,0.001
v002_d_pool_retrain,2,73,0.09890245646238327,0.001
v002_d_pool_retrain,2,74,0.08494879305362701,0.001
v002_d_pool_retrain,2,75,0.08472571521997452,0.001
v002_d_pool_retrain,2,76,0.0992908775806427,0.001
v002_d_pool_retrain,2,77,0.0883726179599762,0.001
