version,work_point,label,source_version,threshold,iou,seg_acc,pd,fa,tp,fp,fn,pred_positive,gt_positive,total_events,max_events_num,input_channel,optimizer,epochs,submission_validation_status,submission_txt_count,notes,delta_iou_vs_v600,delta_seg_acc_vs_v600,delta_pd_vs_v600,delta_fa_vs_v600
v6.0.0,recommended@0.80,v6.0.0 Transformer on v4.5.0 input normalization,v6.0.0,0.8,0.48547776412368393,0.8925747259792997,0.8792524149517009,0.0011972983017327769,58469,54930,7037,113399,65506,1424330,50000,8,Adam,50,ok,24,"Fixed train-set statistics normalize [x,y,t,p,d,L*,C,T]; bottleneck token Transformer enabled.",0.0,0.0,0.0,0.0
v6.0.0,best-IoU@0.80,v6.0.0 best-IoU threshold,v6.0.0,0.8,0.48547776412368393,0.8925747259792997,0.8792524149517009,0.0011972983017327769,58469,54930,7037,113399,65506,1424330,50000,8,Adam,50,not_submitted,,Highest IoU point from v6.0.0 threshold scan.,0.0,0.0,0.0,0.0
v4.5.0,recommended@0.90,v4.5.0 fixed train-set input normalization,v4.5.0,0.9,0.7124943906660683,0.8483345037095839,0.8362032759344813,0.00024329694979336944,55571,12489,9935,68060,65506,1424330,50000,8,Adam,50,ok,24,"Fixed train-set statistics normalize [x,y,t,p,d,L*,C,T].",0.22701662654238441,-0.0442402222697158,-0.04304913901721963,-0.0009540013519394074
v4.5.0,best-IoU@0.80,v4.5.0 best-IoU threshold,v4.5.0,0.8,0.7206513823669739,0.8762098128415717,0.8698026039479211,0.00034665667565115415,57397,14140,8109,71537,65506,1424330,50000,8,Adam,50,not_submitted,,Highest IoU point from v4.5.0 threshold scan.,0.23517361824328997,-0.01636491313772792,-0.00944981100377984,-0.0008506416260816227
v4.3.4,best-IoU@0.85,v4.3.4 best-IoU threshold tune,v4.3.3,0.85,0.7469500972813798,0.8673861936311178,0.8435531289374213,0.00034018021276454544,56819,10562,8687,67381,65506,1424330,50000,8,Adam,0,not_submitted,,Highest IoU in this comparison; FA increases versus v4.3.3@0.90.,0.2614723331576959,-0.025188532348181858,-0.03569928601427963,-0.0008571180889682315
v4.3.4,recommended@0.92,v4.3.4 recommended low-FA threshold tune,v4.3.3,0.92,0.7404451682953311,0.8328397398711569,0.7988240235195296,0.00020510478004438836,54556,8174,10950,62730,65506,1424330,50000,8,Adam,0,ok,24,"Recommended deployable work point: lower FA than v4.3.3 and validated submission, with modest IoU/PD tradeoff.",0.2549674041716472,-0.05973498610814276,-0.08042839143217129,-0.0009921935216883884
v4.3.3,baseline@0.90,Trajectory Direction Head,,0.9,0.745085128398081,0.846441547339175,0.8152036959260814,0.00024217408637432794,55447,8911,10059,64358,65506,1424330,50000,8,Adam,50,ok,24,Training architecture baseline reused by v4.3.4.,0.2596073642743971,-0.04613317864012467,-0.06404871902561948,-0.0009551242153584489
v4.2.0,baseline@0.90,Bottleneck Direction Aggregation skipped,,0.9,0.5906226853495946,0.888620889689494,0.863922721545569,0.00018397480140427256,58210,33051,7296,91261,65506,1424330,50000,8,Adam,50,ok,24,"Highest seg_acc and PD among listed baselines, but IoU far below v4.3.3/v4.3.4.",0.10514492122591068,-0.003953836289805612,-0.015329693406131883,-0.0010133235003285043
v3.1.3,baseline@0.90,no-patchattention EV-SpSegNet,,0.9,0.7170857336496103,0.8076054101914328,0.8097438051238975,0.0001525642526742518,52903,8269,12603,61172,65506,1424330,50000,8,Adam,50,ok,24,Strong low-FA 8-channel baseline; lower IoU than v4.3.3/v4.3.4.,0.23160796952592633,-0.08496931578786682,-0.06950860982780338,-0.001044734049058525
v2.1.0,baseline,v002_slope_0p005 improvement suite,,,0.652904051277635,0.8101547949806125,0.8628727425451491,0.00010876072853037739,,,,,65506,,20000,4,Adam,50,ok,24,Lowest FA overall; 4-channel baseline remains useful for low false-alarm reference.,0.16742628715395103,-0.08241993099868716,-0.016379672406551804,-0.0010885375732023995
