version,work_point,label,source_version,threshold,iou,seg_acc,pd,fa,tp,fp,fn,pred_positive,gt_positive,total_events,max_events_num,input_channel,optimizer,epochs,submission_validation_status,submission_txt_count,notes,delta_iou_vs_v600,delta_seg_acc_vs_v600,delta_pd_vs_v600,delta_fa_vs_v600
v6.1.0,recommended@0.90,v6.1.0 token_limit=2048,v6.1.0,0.9,0.6233515234197362,0.837022562818673,0.8433431331373372,0.00031211455268913643,54830,22454,10676,77284,65506,1424330,50000,8,Adam,50,ok,24,"v6.0.0 + token_limit 512→2048; fixed train-set normalize [x,y,t,p,d,L*,C,T]; bottleneck token Transformer enabled.",0.0,0.0,0.0,0.0
v6.1.0,best-IoU@0.80,v6.1.0 best-IoU threshold,v6.1.0,0.8,0.6315023163467902,0.8739962751503679,0.8798824023519529,0.0004594792663121539,57252,25154,8254,82406,65506,1424330,50000,8,Adam,50,not_submitted,,Highest IoU point from v6.1.0 threshold scan.,0.008150792927054007,0.036973712331694886,0.0365392692146157,0.00014736471362301748
v4.5.0,recommended@0.90,v4.5.0 fixed train-set input normalization,v4.5.0,0.9,0.7124943906660683,0.8483345037095839,0.8362032759344813,0.00024329694979336944,55571,12489,9935,68060,65506,1424330,50000,8,Adam,50,ok,24,"Fixed train-set statistics normalize [x,y,t,p,d,L*,C,T].",0.08914286724633214,0.01131194089091081,-0.007139857202855926,-6.881760289576699e-05
v4.5.0,best-IoU@0.80,v4.5.0 best-IoU threshold,v4.5.0,0.8,0.7206513823669739,0.8762098128415717,0.8698026039479211,0.00034665667565115415,57397,14140,8109,71537,65506,1424330,50000,8,Adam,50,not_submitted,,Highest IoU point from v4.5.0 threshold scan.,0.0972998589472377,0.03918725002289869,0.026459470810583863,3.454212296201772e-05
v4.3.4,best-IoU@0.85,v4.3.4 best-IoU threshold tune,v4.3.3,0.85,0.7469500972813798,0.8673861936311178,0.8435531289374213,0.00034018021276454544,56819,10562,8687,67381,65506,1424330,50000,8,Adam,0,not_submitted,,Highest IoU in this comparison; FA increases versus v4.3.3@0.90.,0.12359857386164363,0.030363630812444753,0.00020999580008407293,2.8065660075409014e-05
v4.3.4,recommended@0.92,v4.3.4 recommended low-FA threshold tune,v4.3.3,0.92,0.7404451682953311,0.8328397398711569,0.7988240235195296,0.00020510478004438836,54556,8174,10950,62730,65506,1424330,50000,8,Adam,0,ok,24,"Recommended deployable work point: lower FA than v4.3.3 and validated submission, with modest IoU/PD tradeoff.",0.11709364487559493,-0.004182822947516152,-0.044519109617807584,-0.00010700977264474807
v4.3.3,baseline@0.90,Trajectory Direction Head,,0.9,0.745085128398081,0.846441547339175,0.8152036959260814,0.00024217408637432794,55447,8911,10059,64358,65506,1424330,50000,8,Adam,50,ok,24,Training architecture baseline reused by v4.3.4.,0.12173360497834484,0.009418984520501938,-0.02813943721125578,-6.994046631480849e-05
v4.2.0,baseline@0.90,Bottleneck Direction Aggregation skipped,,0.9,0.5906226853495946,0.888620889689494,0.863922721545569,0.00018397480140427256,58210,33051,7296,91261,65506,1424330,50000,8,Adam,50,ok,24,"Highest seg_acc and PD among listed baselines, but IoU far below v4.3.3/v4.3.4.",-0.0327288380701416,0.051598326870821,0.02057958840823182,-0.00012813975128486387
v3.1.3,baseline@0.90,no-patchattention EV-SpSegNet,,0.9,0.7170857336496103,0.8076054101914328,0.8097438051238975,0.0001525642526742518,52903,8269,12603,61172,65506,1424330,50000,8,Adam,50,ok,24,Strong low-FA 8-channel baseline; lower IoU than v4.3.3/v4.3.4.,0.09373421022987405,-0.029417152627240206,-0.03359932801343968,-0.00015955030001488463
v2.1.0,baseline,v002_slope_0p005 improvement suite,,,0.652904051277635,0.8101547949806125,0.8628727425451491,0.00010876072853037739,,,,,65506,,20000,4,Adam,50,ok,24,Lowest FA overall; 4-channel baseline remains useful for low false-alarm reference.,0.029552527857898747,-0.026867767838060552,0.0195296094078119,-0.00020335382415875904
v6.0.0,recommended@0.80,v6.0.0 Transformer on v4.5.0 input normalization,v6.0.0,0.8,0.48547776412368393,0.8925747259792997,0.8792524149517009,0.0011972983017327769,58469,54930,7037,113399,65506,1424330,50000,8,Adam,50,ok,24,"Fixed train-set statistics normalize [x,y,t,p,d,L*,C,T]; bottleneck token Transformer enabled.",-0.13787375929605228,0.05555216316062661,0.0359092818143637,0.0008851837490436404
v6.0.0,best-IoU@0.80,v6.0.0 best-IoU threshold,v6.0.0,0.8,0.48547776412368393,0.8925747259792997,0.8792524149517009,0.0011972983017327769,58469,54930,7037,113399,65506,1424330,50000,8,Adam,50,not_submitted,,Highest IoU point from v6.0.0 threshold scan.,-0.13787375929605228,0.05555216316062661,0.0359092818143637,0.0008851837490436404
