version,work_point,label,source_version,threshold,iou,seg_acc,pd,fa,tp,fp,fn,pred_positive,gt_positive,total_events,max_events_num,input_channel,optimizer,epochs,submission_validation_status,submission_txt_count,notes,delta_iou_vs_v600,delta_seg_acc_vs_v600,delta_pd_vs_v600,delta_fa_vs_v600
v6.2.0,recommended@0.70,v6.2.0 full-token,v6.2.0,0.7,0.7653603522769625,0.8464110157848136,0.8250734985300294,0.00016487427247931086,55445,6937,10061,62382,65506,1424330,50000,8,Adam,50,ok,24,"Full token (8192, no subsampling). v6.1.0 + full bottleneck attention.",0.0,0.0,0.0,0.0
v6.2.0,best-IoU@0.70,v6.2.0 best-IoU threshold,v6.2.0,0.7,0.7653603522769625,0.8464110157848136,0.8250734985300294,0.00016487427247931086,55445,6937,10061,62382,65506,1424330,50000,8,Adam,50,not_submitted,,Highest IoU point from v6.2.0 threshold scan.,0.0,0.0,0.0,0.0
v4.5.0,recommended@0.90,v4.5.0 fixed train-set input normalization,v4.5.0,0.9,0.7124943906660683,0.8483345037095839,0.8362032759344813,0.00024329694979336944,55571,12489,9935,68060,65506,1424330,50000,8,Adam,50,ok,24,"Fixed train-set statistics normalize [x,y,t,p,d,L*,C,T].",-0.052865961610894185,0.0019234879247702619,0.011129777404451868,7.842267731405857e-05
v4.5.0,best-IoU@0.80,v4.5.0 best-IoU threshold,v4.5.0,0.8,0.7206513823669739,0.8762098128415717,0.8698026039479211,0.00034665667565115415,57397,14140,8109,71537,65506,1424330,50000,8,Adam,50,not_submitted,,Highest IoU point from v4.5.0 threshold scan.,-0.04470896990998863,0.02979879705675814,0.04472910541789166,0.00018178240317184328
v4.3.4,best-IoU@0.85,v4.3.4 best-IoU threshold tune,v4.3.3,0.85,0.7469500972813798,0.8673861936311178,0.8435531289374213,0.00034018021276454544,56819,10562,8687,67381,65506,1424330,50000,8,Adam,0,not_submitted,,Highest IoU in this comparison; FA increases versus v4.3.3@0.90.,-0.018410254995582687,0.020975177846304205,0.018479630407391867,0.00017530594028523458
v4.3.4,recommended@0.92,v4.3.4 recommended low-FA threshold tune,v4.3.3,0.92,0.7404451682953311,0.8328397398711569,0.7988240235195296,0.00020510478004438836,54556,8174,10950,62730,65506,1424330,50000,8,Adam,0,ok,24,"Recommended deployable work point: lower FA than v4.3.3 and validated submission, with modest IoU/PD tradeoff.",-0.024915183981631395,-0.0135712759136567,-0.02624947501049979,4.023050756507749e-05
v4.3.3,baseline@0.90,Trajectory Direction Head,,0.9,0.745085128398081,0.846441547339175,0.8152036959260814,0.00024217408637432794,55447,8911,10059,64358,65506,1424330,50000,8,Adam,50,ok,24,Training architecture baseline reused by v4.3.4.,-0.020275223878881476,3.0531554361390434e-05,-0.009869802603947986,7.729981389501708e-05
v4.2.0,baseline@0.90,Bottleneck Direction Aggregation skipped,,0.9,0.5906226853495946,0.888620889689494,0.863922721545569,0.00018397480140427256,58210,33051,7296,91261,65506,1424330,50000,8,Adam,50,ok,24,"Highest seg_acc and PD among listed baselines, but IoU far below v4.3.3/v4.3.4.",-0.17473766692736792,0.04220987390468045,0.03884922301553961,1.9100528924961694e-05
v3.1.3,baseline@0.90,no-patchattention EV-SpSegNet,,0.9,0.7170857336496103,0.8076054101914328,0.8097438051238975,0.0001525642526742518,52903,8269,12603,61172,65506,1424330,50000,8,Adam,50,ok,24,Strong low-FA 8-channel baseline; lower IoU than v4.3.3/v4.3.4.,-0.04827461862735227,-0.038805605593380754,-0.015329693406131883,-1.2310019805059064e-05
v2.1.0,baseline,v002_slope_0p005 improvement suite,,,0.652904051277635,0.8101547949806125,0.8628727425451491,0.00010876072853037739,,,,,65506,,20000,4,Adam,50,ok,24,Lowest FA overall; 4-channel baseline remains useful for low false-alarm reference.,-0.11245630099932757,-0.0362562208042011,0.03779924401511969,-5.611354394893347e-05
v6.1.0,recommended@0.90,v6.1.0 token_limit=2048,v6.1.0,0.9,0.6233515234197362,0.837022562818673,0.8433431331373372,0.00031211455268913643,54830,22454,10676,77284,65506,1424330,50000,8,Adam,50,ok,24,"v6.0.0 + token_limit 512→2048; fixed train-set normalize [x,y,t,p,d,L*,C,T]; bottleneck token Transformer enabled.",-0.14200882885722632,-0.009388452966140548,0.018269634607307794,0.00014724028020982556
v6.1.0,best-IoU@0.80,v6.1.0 best-IoU threshold,v6.1.0,0.8,0.6315023163467902,0.8739962751503679,0.8798824023519529,0.0004594792663121539,57252,25154,8254,82406,65506,1424330,50000,8,Adam,50,not_submitted,,Highest IoU point from v6.1.0 threshold scan.,-0.13385803593017231,0.027585259365554338,0.054808903821923494,0.000294604993832843
v6.0.0,recommended@0.80,v6.0.0 Transformer on v4.5.0 input normalization,v6.0.0,0.8,0.48547776412368393,0.8925747259792997,0.8792524149517009,0.0011972983017327769,58469,54930,7037,113399,65506,1424330,50000,8,Adam,50,ok,24,"Fixed train-set statistics normalize [x,y,t,p,d,L*,C,T]; bottleneck token Transformer enabled.",-0.2798825881532786,0.04616371019448606,0.0541789164216715,0.001032424029253466
v6.0.0,best-IoU@0.80,v6.0.0 best-IoU threshold,v6.0.0,0.8,0.48547776412368393,0.8925747259792997,0.8792524149517009,0.0011972983017327769,58469,54930,7037,113399,65506,1424330,50000,8,Adam,50,not_submitted,,Highest IoU point from v6.0.0 threshold scan.,-0.2798825881532786,0.04616371019448606,0.0541789164216715,0.001032424029253466
